Latitude,Longitude,ciudad_o_pais
36.155,136.771,Hakusan
36.477,138.851,Harunasan
38.599,140.162,Hijiori
36.955,139.285,Hiuchigatake
40.656,140.303,Iwakisan
39.853,141.001,Iwatesan
34.9,139.098,Izu-Tobu
38.961,140.788,Kurikomayama
36.618,138.528,Kusatsu-Shiranesan
39.95,139.73,Megata
36.571,137.59,Midagahara
36.891,138.114,Myokosan
36.765,139.491,Nantaisan
38.729,140.734,Naruko
37.125,139.963,Nasudake
36.921,138.036,Niigata-Yakeyama
36.799,139.376,Nikko-Shiranesan
36.106,137.554,Norikuradake
37.444,139.566,Numazawa
36.176,133.334,Oki-Dogo
36.807,139.476,Omanago Group
35.893,137.48,Ontakesan
41.279,141.12,Osorezan
35.141,132.622,Sanbesan
36.688,138.519,Shiga
36.9,139.777,Takaharayama
40.51,140.88,Towada
36.408,137.594,Washiba-Kumonotaira
36.227,137.587,Yakedake
36.087,138.32,Yokodake
38.144,140.44,Zaozan [Zaosan]
65.883,-16.967,Theistareykir
66.3,-17.1,Manareyjar
66.67,-18.5,Kolbeinsey Ridge
66.309,-17.118,Tjornes Fracture Zone
65.033,-16.783,Askja
64.633,-17.516,Bardarbunga
65.416,-16.666,Fremrinamar
64.416,-17.316,Grimsvotn
65.583,-16.817,Heidarspordar
65.715,-16.728,Krafla
64.653,-16.647,Kverkfjoll
64.42,-17.33,Lakagigar
64.798,-15.56,Snaefell
64.267,-17.617,Thordarhyrna
64.43,-18.13,Trollagigar
64.75,-17.916,Tungnafellsjokull
63.633,-19.633,Eyjafjallajokull
63.983,-19.666,Hekla
64.083,-21.333,Hromundartindur
63.633,-19.083,Katla
63.98,-19.7,Krakagiger
64.08,-19.4,Lambafit
63.98,-19.7,Mundafell
62.27,-17.6,Thordarhyrna
63.783,-19.716,Tindfjallajokull
63.892,-19.122,Torfajokull
63.416,-20.266,Vestmannaeyjar
64.25,-16.583,Esjufjoll
64.0,-16.65,Oraefajokull
63.933,-21.783,Brennisteinsfjoll
63.733,-23.0,Eldey
64.05,-20.883,Grimsnes
64.083,-21.416,Hengill
64.833,-18.766,Hofsjokull
63.98,-21.42,Kristnitokugigar
63.917,-22.067,Krysuvik-Trolladyngja
64.85,-19.7,Oddnyjarhnjukur-Langjokull
64.583,-20.666,Prestahnukur
63.817,-22.717,Reykjanes
63.67,-23.33,Reykjaneshryggur
64.866,-23.283,Helgrindur
64.9,-22.483,Ljosufjoll
64.8,-23.783,Snaefellsjokull
11.75,80.75,Unnamed
-46.43,52.2,"Est, Ile de l'"
-49.58,69.5,Kerguelen Islands
-53.106,73.513,Heard
-37.83,77.52,Amsterdam Island
-46.1,50.23,"Cochons, Ile Aux"
-53.03,72.6,McDonald Islands
-46.42,51.75,"Possession, Ile de la"
-46.63,37.95,Prince Edward Island
-38.72,77.53,St. Paul
-46.9,37.75,Marion Island
-11.47,43.33,"Grille, La"
-11.75,43.38,Karthala
-12.83,45.17,Mayotte
-21.244,55.708,"Fournaise, Piton de la"
-37.722,77.822,Boomerang Seamount
-6.101,105.423,Krakatau
28.07,60.0,Bazman
35.951,52.109,Damavand
28.17,60.67,Kuh-e Nader
29.4,57.57,Qal'eh Hasan Ali
38.268,47.835,Sabalan
37.75,46.43,Sahand
28.6,61.13,Taftan
39.25,45.167,Unnamed
40.827,14.139,Campi Flegrei
37.1,12.7,Campi Flegrei del Mar di Sicilia
41.757,12.725,Colli Albani
37.748,14.999,Etna
40.73,13.897,Ischia
43.25,10.87,Larderello
38.49,14.933,Lipari
39.284,14.399,Marsili
39.48,14.83,Palinuro
38.638,15.064,Panarea
36.77,12.02,Pantelleria
38.789,15.213,Stromboli
40.821,14.426,Vesuvius
38.404,14.962,Vulcano
42.6,11.93,Vulsini
32.458,139.759,Aogashima
27.68,140.8,Doyo Seamount
33.137,139.766,Hachijojima
34.724,139.394,Izu-Oshima
30.484,140.303,Izu-Torishima
32.1,139.85,Kita-Bayonnaise
34.219,139.153,Kozushima
33.4,139.68,Kurose Hole
33.874,139.602,Mikurajima
34.094,139.526,Miyakejima
28.327,140.572,Mokuyo Seamount
31.888,139.918,Myojinsho
34.397,139.27,Niijima
